date,ticker,open,high,low,close,volume,ma20,ma50,ma200,price_to_ma20,price_to_ma50,ma20_to_ma50,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_pctb,bb_width,vol_ma20,volume_ratio,ret_1d,ret_5d,ret_10d,realized_vol_10d,next_close,target_up
2021-03-12,HDFCBANK,1779.8,1779.95,1775.16,1775.27,10610173,1780.2285,1728.5285999999999,,-0.0027853166040201494,0.02704114933360091,0.02990977412812268,44.3939168033398,12.380027039311472,16.519992441998088,-4.139965402686617,1810.8441418741888,1749.612858125811,0.4190201528294542,0.03439518227484718,5756277.75,1.843235066271776,-0.0025452298011012786,0.0020602612298348255,-0.004072862728818016,0.007617213638198459,1779.87,1.0
2021-03-15,HDFCBANK,1775.27,1784.49,1770.27,1779.87,5847644,1779.4730000000004,1732.9394,,0.00022309976043444202,0.027081500945734138,0.026852410418968242,51.22165442350684,11.869650835333005,15.589924120665072,-3.720273285332068,1809.291272109214,1749.6547278907867,0.5066569920373892,0.033513598811798426,5741483.6,1.0184900641360362,0.002591155148230939,0.004968747706188825,0.006167465629522306,0.007213718052223329,1789.77,1.0
2021-03-16,HDFCBANK,1779.87,1794.52,1772.36,1789.77,5808719,1778.676,1737.229,,0.006237223642754586,0.030244141676198044,0.02385810966775237,51.78754636571699,12.124260352611145,14.896791367054288,-2.7725310144431425,1806.3139155280749,1751.038084471925,0.7007025455434697,0.03107695333841006,5526555.0,1.0510560376219906,0.005562203981189784,0.0028295755076426232,0.010895350413447247,0.00738107372361607,1791.83,1.0
2021-03-17,HDFCBANK,1789.77,1793.64,1786.86,1791.83,5102466,1778.5104999999999,1740.8137999999997,,0.007489132057415526,0.029305948746500166,0.021654642213888797,48.637968723726246,12.349903018824989,14.387413697408428,-2.0375106785834394,1805.7703601958062,1751.2506398041935,0.7443060951950355,0.03065470819070944,5509391.55,0.9261396569281776,0.0011509858808673723,0.003944441642994345,0.02650137204466163,0.005129151913705056,1809.02,1.0
2021-03-18,HDFCBANK,1791.83,1809.08,1791.8,1809.02,3845670,1779.1294999999998,1744.4194,,0.01680063199446713,0.0370327227500451,0.019897795220575887,60.71688647948864,13.75723099926222,14.261377157779187,-0.5041461585169671,1808.59567148707,1749.6633285129296,1.007200265448741,0.03312425710109371,5471010.35,0.702917697825229,0.009593544030404688,0.016417575008427887,0.03526382053336374,0.0055322002167422345,1768.53,0.0
2021-03-19,HDFCBANK,1809.02,1815.31,1764.53,1768.53,3231760,1778.4329999999998,1746.6635999999999,,-0.005568385202028847,0.012518953277551592,0.01818861972047725,49.85715234868113,11.473089320126064,13.703719590248562,-2.2306302701224983,1808.2244414414283,1748.6415585585712,0.33379454768125977,0.03350302366344818,5334215.75,0.605854759436755,-0.02238228433074263,-0.0037966055867558746,-0.0017441663562163257,0.008854255236962845,1743.03,0.0
2021-03-22,HDFCBANK,1768.53,1769.55,1741.46,1743.03,3325820,1776.069,1748.4519999999998,,-0.01860231781535515,-0.0031010287957574656,0.01579511476437445,42.13421972605879,7.518584137667631,12.466692499732376,-4.948108362064746,1809.2076458447116,1742.9303541552883,0.0015034688680185299,0.03731684506031198,5262687.85,0.6319622395996753,-0.014418754558870872,-0.020698140875457183,-0.015832237009265615,0.009941828113066776,1706.05,0.0
2021-03-23,HDFCBANK,1743.03,1743.97,1704.17,1706.05,6478287,1772.5310000000002,1748.9163999999998,,-0.03750625517974027,-0.024510262468806387,0.013502417839983849,39.4082332761578,1.384671711095507,10.250288342005003,-8.865616630909496,1818.1104717874312,1726.9515282125692,-0.22928664366765505,0.05142868789028905,5256867.75,1.232347342198213,-0.021215928584132238,-0.04677696016806632,-0.04407974360123723,0.011090388105666137,1702.48,0.0
2021-03-24,HDFCBANK,1706.05,1713.85,1696.78,1702.48,5923622,1768.393,1749.1096,,-0.03727282340520466,-0.026659049838843707,0.011024695079141944,38.07222517259688,-3.721666192470593,7.455897435109884,-11.177563627580478,1823.2060453546671,1713.579954645333,-0.10125285480409622,0.06199192753496209,5210238.9,1.1369194606412385,-0.00209255297324229,-0.04986522158910156,-0.04611747040268044,0.011014909505726695,1706.86,1.0
2021-03-25,HDFCBANK,1702.48,1717.79,1693.64,1706.86,15677359,1763.9824999999996,1749.3084,,-0.03238269087136625,-0.024265818422869234,0.00838851514118355,30.778819897898586,-7.330544422415869,4.498609063604734,-11.829153486020603,1823.7307962100185,1704.2342037899807,0.021973816632271447,0.06774250448631879,5695222.25,2.7527211953844293,0.0025727174474883263,-0.05647256525632671,-0.04098213282391283,0.01124405172276126,1703.98,0.0
2021-03-26,HDFCBANK,1706.86,1714.57,1693.15,1703.98,12262277,1760.0549999999998,1750.3094,,-0.03185979983580045,-0.026469263091428386,0.005567929875712085,30.358920311493648,-10.304217743057734,1.5380437022722404,-11.842261445329974,1824.7886484535316,1695.3213515464681,0.0668790394206454,0.07355866544344548,6145865.55,1.9952074935970574,-0.0016873088595431573,-0.03649923948137712,-0.04015727185160567,0.01126064954603917,1644.3,0.0
2021-03-29,HDFCBANK,1703.98,1715.62,1629.29,1644.3,10557876,1753.8220000000001,1750.3195999999998,,-0.06244761441012836,-0.060571566472774396,0.0020010059877066944,17.618300894751343,-17.27738951571928,-2.2250429413260635,-15.052346574393216,1836.472220644786,1671.1717793552143,-0.16256326447514227,0.09425154963820251,6406808.8,1.6479149494831187,-0.03502388525686928,-0.05664274280993442,-0.07616848421513933,0.01459191130830653,1715.28,1.0
2021-03-30,HDFCBANK,1644.3,1717.67,1639.02,1715.28,15849694,1751.062,1751.5993999999998,,-0.020434456347062535,-0.020734992259074714,-0.00030680531176241477,37.92096757376707,-16.881585183579773,-5.156351389776806,-11.725233793802968,1835.04592693342,1667.0780730665797,0.2869711425356023,0.095923418969083,6984371.35,2.269308604274027,0.04316730523627066,0.005410157967234319,-0.04161987294456826,0.021585943121370077,1697.79,0.0
